question,NE,p_can,p_cant,rej_mode,C_agg,hit_gold
What is the Japanese share index called?,0.0,1.0,0.0,standard,"[""nikkei 225"", ""the japanese share index is called the msci japan index"", ""the japanese share index is called the nikkei"", ""the japanese share index is called the russell nomura equity indices"", ""the japanese share index is called the tokyo stock exchange"", ""the japanese share index is called topix"", ""topix""]",True
What was the name of Michael Jackson's autobiography written in 1988?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",False
In which decade did stereo records first go on sale?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""stereo records first went on sale in the 1940s"", ""stereo records first went on sale in the 1950s"", ""the 1950s"", ""the 1960s""]",True
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,0.9999999999968934,3.106626067506113e-12,0.9999999999968934,add_cant,"[""Can't answer""]",True
In what year's Olympics were electric timing devices and a public-address system used for the first time?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",True
Why is the site of a boxing match called a ring when it's square?,0.9602297178580305,0.03977028214196954,0.9602297178580305,add_cant,"[""Can't answer""]",True
"In the very first Boston Marathon, 15 runners competed. How many finished?",0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",True
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",0.0,1.0,0.0,standard,"[""the animal crackers cookie zoo features 23 different animal shapes"", ""the context does not provide a specific number of different animal shapes in the animal"", ""the context does not provide specific information about the number of different animal shapes in the animal crackers cookie zoo"", ""the context does not specify a number for the different animal shapes in the animal"", ""the context does not specify how many different animal shapes are in the animal crackers cookie zoo"", ""the context does not specify the exact number of different animal shapes in the animal"", ""the context does not specify the exact number of different animal shapes in the animal crackers cookie zoo"", ""the context does not specify the number of different animal shapes in the animal crack"", ""the context does not specify the number of different animal shapes in the animal crackers cookie zoo"", ""the exact number of different animal shapes in the animal crackers cookie zoo"", ""there are 13 different animal shapes in the animal crackers cookie zoo"", ""there are 16 different animal shapes in the animal crackers cookie zoo"", ""there are 18 different animal shapes in the animal crackers cookie zoo"", ""there are 22 different animal shapes in the animal crackers cookie zoo"", ""there are 37 different animal shapes in the animal crackers cookie zoo"", ""there are 54 different animal shapes in the animal crackers cookie zoo"", ""there are a variety of different animal shapes but the exact number is not specified"", ""there are five different animal shapes in the animal crackers cookie zoo"", ""there are over 100 different animal shapes in the animal crackers cookie"", ""there are several different animal shapes in the animal crackers cookie zoo""]",False
Which volcano in Tanzania is the highest mountain in Africa?,0.0,1.0,0.0,standard,"[""kilimanjaro"", ""mount kilimanjaro"", ""mount kilimanjaro is the highest mountain in africa"", ""the highest mountain in africa is kilimanjaro"", ""the highest mountain in africa is mount kilimanjaro"", ""the highest mountain in africa which is a volcano in tanzania is kilimanjaro""]",True
The flag of Libya is a plain rectangle of which color?,0.9602297178580305,0.03977028214196954,0.9602297178580305,add_cant,"[""Can't answer"", ""the flag of libya is a plain green rectangle"", ""the flag of libya is a plain rectangle of green"", ""the flag of libya is a plain rectangle of red"", ""the flag of libya is a plain rectangle of red black and green"", ""the flag of libya is a plain rectangle of red black and green colors"", ""the flag of libya is a plain rectangle of red color"", ""the flag of libya is a plain rectangle of solid color"", ""the flag of libya is a plain rectangle of three colors red black""]",True
Of which African country is Niamey the capital?,0.0,1.0,0.0,standard,"[""niamey is the capital of niger"", ""niger""]",True
Who was the director of the CIA from 1976-81?,0.0,1.0,0.0,standard,"[""george bush"", ""george bush was the director of the cia from 1976 81"", ""george h w bush"", ""george h w bush was the director of the cia from 1976"", ""james schlesinger"", ""james schlesinger was the director of the cia from 1976 to"", ""stansfield turner"", ""stansfield turner was the director of the cia from 1976 to"", ""the director of the cia from 1976 81 was adm stansfield turner"", ""the director of the cia from 1976 81 was george h w"", ""the director of the cia from 1976 81 was george h w bush"", ""the director of the cia from 1976 81 was stansfield turner"", ""the director of the cia from 1976 81 was william j casey"", ""the director of the cia from 1976 to 1981 was stansfield turner"", ""william j casey""]",False
Which musical featured the song The Street Where You Live?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""the musical featuring the song the street where you live is my fair lady"", ""the musical that featured the song the street where you live is my"", ""the musical that featured the song the street where you live is my fair lady"", ""the song on the street where you live is featured in the musical"", ""the song the street where you live is featured in the musical my"", ""the song the street where you live is featured in the musical my fair lady"", ""the song the street where you live is from the musical my fair""]",True
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",0.0,1.0,0.0,standard,"[""the target of the failed bomb plot of 1944 was adolf hitler"", ""the target of the failed bomb plot of 1944 was likely a public figure or event though the specific target is not mentioned in the"", ""the target of the failed bomb plot of 1944 was likely albert parsons"", ""the target of the failed bomb plot of 1944 was not specified in the provided context"", ""the target of the failed bomb plot of 1944 was unknown as the bomb thrower s identity was never revealed in the trial""]",True
Who had an 80s No 1 hit with Hold On To The Nights?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""richard marx"", ""richard marx had an 80s no 1 hit with hold on to"", ""richard marx had an 80s no 1 hit with hold on to the nights"", ""richie sambora had an 80s no 1 hit with hold on to the nights""]",True
Who directed the classic 30s western Stagecoach?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""john ford directed the classic 1939 western stagecoach"", ""john ford directed the classic 30s western stagecoach"", ""stagecoach was directed by john ford""]",True
Dave Gilmore and Roger Waters were in which rock group?,0.0,1.0,0.0,standard,"[""dave gilmore and roger waters were in pink floyd"", ""dave gilmore and roger waters were in the rock group pink floyd"", ""dave gilmour and roger waters were in pink floyd"", ""dave gilmour and roger waters were in the rock group pink floyd"", ""pink floyd""]",True
Which highway was Revisited in a classic 60s album by Bob Dylan?,0.9602297178580305,0.03977028214196954,0.9602297178580305,add_cant,"[""Can't answer"", ""highway 61"", ""highway 61 revisited""]",True
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""china was the only eastern bloc country to participate in the 1984 la olympics"", ""poland was the only eastern bloc country to participate in the 1984 la"", ""romania"", ""romania was the only eastern bloc country to participate in the 1984 la olympics"", ""the only eastern bloc country to participate in the 1984 la olympics was romania""]",True
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,0.9999999999968934,3.106626067506113e-12,0.9999999999968934,add_cant,"[""Can't answer""]",True
If I Were A Rich Man Was a big hit from which stage show?,0.0,1.0,0.0,standard,"[""fiddler on the roof"", ""if i were a rich man is a big hit from the musical f"", ""if i were a rich man is from the musical fiddler on"", ""if i were a rich man is from the stage show fiddler"", ""if i were a rich man was a big hit from the musical f"", ""if i were a rich man was a big hit from the stage show"", ""if i were a rich man was a big hit from the stage show fiddler on the roof"", ""if i were a rich man was a hit from the stage show fiddler on the roof""]",False
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,0.0,1.0,0.0,standard,"[""a christmas carol"", ""master and commander"", ""men against the sea and pitcairn s island are sequels to"", ""men against the sea and pitcairn s island are sequels to mutiny on the bounty"", ""men against the sea and pitcairn s island were sequels to"", ""men against the sea and pitcairn s island were sequels to mutiny on the bounty"", ""men against the sea and pitcairn s island were sequels to the"", ""men against the sea and pitcairn s island were sequels to the famous novel mutiny on the bounty"", ""men against the sea and pitcairn s island were two sequels to mutiny on the bounty"", ""mutiny on the bounty"", ""the famous novel is mutiny on the bounty"", ""the sequels men against the sea and pitcairn s island are to the famous novel mutiny on the bounty"", ""the sequels men against the sea and pitcairn s island were sequels to mutiny on the bounty"", ""the sequels were to the novel mutiny on the bounty"", ""the two sequels were to mutiny on the bounty"", ""they were sequels to the novel mutiny on the bounty"", ""treasure island""]",True
What is the only novel to top the best-seller lists for two consecutive years?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""the context provided does not specify the novel that topped the best seller lists for two consecutive years"", ""the only novel to top the best seller lists for two consecutive years is battlefield earth"", ""the only novel to top the best seller lists for two consecutive years is harry potter"", ""the only novel to top the best seller lists for two consecutive years is not"", ""the only novel to top the best seller lists for two consecutive years is not mentioned in the provided context"", ""the only novel to top the best seller lists for two consecutive years is not specified in the provided context"", ""the only novel to top the best seller lists for two consecutive years is the harry potter series""]",True
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",0.0,1.0,0.0,standard,"[""helen keller dedicated her autobiography the story of my life to anne sullivan"", ""helen keller dedicated her autobiography the story of my life to anne sullivan and polly thomson"", ""helen keller dedicated her autobiography the story of my life to her teacher"", ""helen keller dedicated her autobiography the story of my life to her teacher anne sullivan"", ""helen keller dedicated her autobiography the story of my life to inventor alexander graham"", ""helen keller dedicated her autobiography the story of my life to the memory of""]",False
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",0.0,1.0,0.0,standard,"[""a rich person to enter the kingdom of god"", ""for a rich man to enter into the kingdom of god"", ""for a rich man to enter the kingdom of god"", ""for a rich person to come to god s kingdom"", ""it is easier for a camel to go through the eye of a needle than"", ""it is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of god"", ""than for a rich man to enter into the kingdom of god""]",False
What was Truman Capote's last name before he was adopted by his stepfather?,0.9602297178580305,0.03977028214196954,0.9602297178580305,add_cant,"[""Can't answer"", ""capote s last name before he was adopted was perry""]",True
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""gerald ford s autobiography a time to heal knocked henry kissinger"", ""the book that knocked henry kissinger s white house years out of first place on the best seller list in november 1979 was"", ""thomas jefferson an intimate history knocked henry kissinger s white house years out of first place on the best seller list in november""]",True
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",0.0,1.0,0.0,standard,"[""in lewis carroll s poem the elusive snark turned into a boojum"", ""in lewis carroll s poem the elusive snark turns into a boojum"", ""in lewis carroll s poem the elusive snark turns into a boojum to"", ""in lewis carroll s poem the elusive snark turns into a boojum to fool the hunters"", ""in lewis carroll s poem the hunting of the snark the elusive snark"", ""in lewis carroll s poem the hunting of the snark the elusive snark turns into a boojum to fool the hunters"", ""in lewis carroll s poem the snark turns into a boojum to fool"", ""in the hunting of the snark the elusive snark turns into a"", ""in the hunting of the snark the snark turned into a bo"", ""the elusive snark turned into a boojum to fool hunters"", ""the elusive snark turned into a boojum to fool the hunters"", ""the elusive troublesome snark turned into a boojum to fool hunters"", ""the snark turned into a boojum to fool the hunters""]",True
In what state was playwright Tennessee Williams born?,0.0,1.0,0.0,standard,"[""mississippi"", ""missouri"", ""tennessee williams was born in mississippi"", ""tennessee williams was born in missouri"", ""the context does not specify the state where tennessee williams was born""]",False
Who was the only Englishman to become Pope?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""adrian iv"", ""nicholas breakspear"", ""pope adrian iv"", ""the only englishman to become pope was adrian iv"", ""the only englishman to become pope was adrian iv also known as nicholas breakspear"", ""the only englishman to become pope was nicholas iv"", ""the only englishman to become pope was pope adrian iv""]",True
"In the Bible, who did the sun and moon stand still before?",0.0,1.0,0.0,standard,"[""joshua"", ""the sun and moon stood still before joshua""]",True
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,0.9602297178580305,0.03977028214196954,0.9602297178580305,add_cant,"[""Can't answer"", ""the michelle pfeiffer movie that got a boost from the coolio song gangsta s paradise is batman returns"", ""the michelle pfeiffer movie that got a boost from the coolio song gangsta s paradise is dangerous minds""]",True
"In the Bible, who saw the handwriting on the wall?",0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""belshazzar saw the handwriting on the wall"", ""daniel saw the handwriting on the wall in the bible"", ""king belshazzar saw the handwriting on the wall"", ""king belshazzar saw the handwriting on the wall in the bible""]",False
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""joe palooka"", ""the comic strip character named after heavyweight boxing champion james j jeffries is"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jeff"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jeffries"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jeffries the boxer"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jeffries the fighter"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jeffries the great"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jimbo"", ""the comic strip character named after heavyweight boxing champion james j jeffries is jimmy jeffries"", ""the comic strip character named after james j jeffries is jeffy"", ""the comic strip character named after james j jeffries is jim jeffries"", ""the comic strip character named after james j jeffries is joe bfs"", ""the comic strip character named after james j jeffries is joe btfs"", ""the comic strip character named after james j jeffries is pogo""]",True
What was President Gerald Ford's middle name?,0.0,1.0,0.0,standard,"[""ford s middle name was rudolff"", ""ford s middle name was rudolph"", ""gerald ford s middle name was rudolff"", ""gerald ford s middle name was rudolph"", ""gerald r ford s middle name was robert"", ""gerald r ford s middle name was rudolph"", ""gerald rudolph ford"", ""president gerald ford s middle name was rudolph"", ""r"", ""richard"", ""robert"", ""rodgers"", ""rudolff"", ""rudolph""]",True
Who recorded the When Harry Met Sally soundtrack?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""harry connick jr recorded the soundtrack for when harry met sally"", ""harry connick jr recorded the when harry met sally soundtrack"", ""the context does not specify who recorded the when harry met sally soundtrack"", ""the soundtrack for when harry met sally was recorded at rca studio b in new york"", ""the soundtrack for when harry met sally was recorded by various artists including frank sinatra"", ""the when harry met sally soundtrack was recorded by harry connick jr""]",True
Art Garfunkel trained for which profession although he didn't qualify?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""art garfunkel trained for a profession in mathematics but did not qualify"", ""art garfunkel trained for the profession of dentistry but didn t qualify"", ""art garfunkel trained for the profession of teaching but didn t qualify"", ""art garfunkel trained for the teaching profession but didn t qualify"", ""art garfunkel trained to be a teacher but did not qualify"", ""art garfunkel trained to be a teacher but didn t qualify""]",True
Who was the last inmate of Spandau jail in Berlin?,0.0,1.0,0.0,standard,"[""rudolf hess"", ""rudolf hess was the last inmate of spandau jail in berlin"", ""rudolph hess"", ""rudolph hess was the last inmate of spandau jail in berlin"", ""the last inmate of spandau jail in berlin was albert speer"", ""the last inmate of spandau jail in berlin was rudolf hess"", ""the last inmate of spandau jail was rudolf hess"", ""the last inmate of spandau prison in berlin was rudolf hess"", ""the last inmate of spandau prison was rudolf hess""]",True
What was Eddie Murphy's first movie?,0.0,1.0,0.0,standard,"[""eddie murphy s first major role in a motion picture was in the 199"", ""eddie murphy s first movie was 48 hrs"", ""eddie murphy s first movie was 48 hrs 1982"", ""eddie murphy s first movie was 48 hrs released in 198"", ""eddie murphy s first movie was 48 hrs released in 1982"", ""eddie murphy s first movie was beverly hills cop 1984"", ""eddie murphy s first movie was delirious"", ""eddie murphy s first movie was not mentioned in the provided context"", ""eddie murphy s first movie was not specified in the context provided"", ""eddie murphy s first movie was not specified in the provided context but his"", ""eddie murphy s first movie was to hell and back""]",False
In the 80s who wrote the novel Empire of The Sun?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",False
Kagoshima international airport is in which country?,0.0,1.0,0.0,standard,"[""japan"", ""kagoshima international airport is in japan""]",True
In which sport could the Pacers take on the Pistons?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""basketball""]",True
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,0.9609640474407958,0.03903595255920422,0.9609640474407958,add_cant,"[""Can't answer"", ""the song that interrupted kim carnes nine weeks at no 1 with"", ""the song that interrupted kim carnes nine weeks at no 1 with bette davis eyes for one week was not specified in the"", ""the song that interrupted kim carnes nine weeks at no 1 with bette davis eyes for one week was still by""]",True
Where in Canada is the Lion's Gate bridge?,0.0,1.0,0.0,standard,"[""the context does not provide information about the lion s gate bridge it mainly discusses the golden gate however the lion s gate bridge is located in"", ""the lion s gate bridge is in british columbia"", ""the lion s gate bridge is in vancouver bc canada"", ""the lion s gate bridge is in vancouver british columbia"", ""the lion s gate bridge is in vancouver british columbia canada"", ""the lion s gate bridge is in vancouver canada"", ""the lion s gate bridge is located in vancouver british columbia canada"", ""the lion s gate bridge is located in vancouver canada""]",True
What was Walter Matthau's first movie?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",True
Otis Barton was a pioneer in exploring where?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""otis barton was a pioneer in exploring geology"", ""otis barton was a pioneer in exploring photography"", ""otis barton was a pioneer in exploring the deep sea"", ""otis barton was a pioneer in exploring the depths of the ocean"", ""otis barton was a pioneer in exploring the gay culture and community"", ""otis barton was a pioneer in exploring the intersection of religion and business"", ""otis barton was a pioneer in exploring the ocean"", ""otis barton was a pioneer in exploring the ocean depths"", ""otis barton was a pioneer in exploring the ocean s depths"", ""otis barton was a pioneer in exploring the unknown depths of the ocean"", ""otis barton was a pioneer in exploring tropical rain forests""]",True
Where in England was actor Nigel Hawthorne born?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""nigel hawthorne was born in coventry england"", ""nigel hawthorne was born in england"", ""nigel hawthorne was born in england specifically in hertfordshire"", ""nigel hawthorne was born in england specifically in kensington london"", ""nigel hawthorne was born in england specifically in surrey"", ""nigel hawthorne was born in gordon england"", ""nigel hawthorne was born in kensington london england"", ""nigel hawthorne was born in london england"", ""nigel hawthorne was born in sussex england"", ""nigel hawthorne was born in the west midlands of england"", ""nigel hawthorne was born in thundridge hertfordshire england"", ""nigel hawthorne was born in union street england""]",True
What would Kevin Scale have been called if it had adopted the originator's first name?,0.0,1.0,0.0,standard,"[""alpha kevin"", ""if it had adopted the originator s first name kevin scale would have been"", ""if kevin scale had adopted the originator s first name it would have been"", ""it would have been called alpha gabriele"", ""it would have been called detlefism"", ""it would have been called kelvin"", ""it would have been called kevinism"", ""it would have been called mccarthy scale"", ""kelvin"", ""kevin scale would have been called gabriele scale if it had adopted"", ""kevin scale would have been called george scale"", ""kevin scale would have been called kevin"", ""kevin scale would have been called kevin prime""]",False
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",0.0,1.0,0.0,standard,"[""manticore"", ""the beast described is a combination of features from various creatures but based on the"", ""the beast described is a sphinx"", ""the creature described is a chimera"", ""the creature described is a griffin"", ""the creature described is a mythical beast but does not have a specific name in the context provided"", ""the creature described is a mythical chimera"", ""the creature described is a sphinx"", ""the creature described is a unique mythological beast but it seems to combine features of a sphinx head of a man body of a lion"", ""the creature is called a manticore"", ""the lion dragon"", ""the manticore"", ""the mythical beast described is the manticore"", ""the mythical beast is a sphinx"", ""the mythical beast with the head of a man the body of a lion and the tail and feet of a dragon is known as a mantic"", ""the mythological beast described is a chimera"", ""the mythological beast described is a chinese dragon"", ""the mythological beast described is a combination of various elements but it does not specifically match a well known creature"", ""the mythological beast described is a hybrid creature but the specific one with the head of a man body of a lion and tail and feet"", ""the mythological beast described is a hybrid creature often resembling a chimera"", ""the mythological beast described is a manticore"", ""the mythological beast described is a scorpion or dragon but based on the"", ""the mythological beast described is a sphinx"", ""the mythological beast described is a type of dragon but it specifically refers to a chimera or similar creature as none fit exactly"", ""the mythological beast described is likely a chimera"", ""the mythological beast described is likely a hybrid creature resembling a combination of several animals but specifically the one you mentioned head of a man"", ""the mythological beast described is not explicitly named in the provided context but it resembles characteristics of a chimera"", ""the mythological beast described is not specifically named in the context provided but it resembles a chimera"", ""the mythological beast described is the sphinx"", ""the mythological beast is a chimera"", ""the mythological beast is a griffin"", ""the mythological beast is a lamashtu or a similar creature as described"", ""the mythological beast is a lamassu"", ""the mythological beast is a manticore"", ""the mythological beast is a sphinx"", ""the mythological beast is a variant of a chimera"", ""the mythological beast is known as the mu n iru"", ""the mythological beast is the chimera"", ""the mythological beast is the lion dragon"", ""the mythological beast is the manticore"", ""the mythological beast with the head of a man the body of a lion"", ""the mythological beast with the head of a man the body of a lion and the tail and feet of a dragon is a chimera"", ""the mythological beast with the head of a man the body of a lion and the tail and feet of a dragon is a sphinx"", ""the mythological beast you re describing is not specified in the provided context but it"", ""the sphinx""]",False
"In Greek mythology, who were Arges, Brontes and Steropes?",0.0,1.0,0.0,standard,"[""arges brontes and steropes are cyclopes in greek mythology"", ""arges brontes and steropes are cyclopes in greek mythology known as the sons of uranus heaven and gaia"", ""arges brontes and steropes are cyclopes in greek mythology known for their one eye and craftsmanship often associated with forges"", ""arges brontes and steropes are cyclopes in greek mythology known for their one eye and for forging zeus s thunderbolts"", ""arges brontes and steropes are the cyclopes in greek mythology known for forging thunderbolts for zeus"", ""arges brontes and steropes are the cyclopes in greek mythology known for their strength and craftsmanship"", ""arges brontes and steropes are the three cyclopes in greek mythology known for their thunder and lightning skills and for forging zeus"", ""arges brontes and steropes are three cyclopes in greek mythology known for their craftsmanship and forge work particularly in creating zeus s"", ""arges brontes and steropes were cyclopes in greek mythology"", ""arges brontes and steropes were cyclopes in greek mythology as mentioned in hesiod s theogony"", ""arges brontes and steropes were cyclopes in greek mythology known as the sons of uranus and gaia"", ""arges brontes and steropes were cyclopes in greek mythology known for forging thunderbolts for zeus"", ""arges brontes and steropes were cyclopes in greek mythology known for their craftsmanship and as sons of uranus and gaia"", ""arges brontes and steropes were cyclopes in greek mythology known for their craftsmanship and strength"", ""arges brontes and steropes were cyclopes in greek mythology known for their exceptional craftsmanship and strength"", ""arges brontes and steropes were cyclopes in greek mythology known for their strength and craftsmanship particularly in forging weapons for the"", ""arges brontes and steropes were cyclopes known for forging"", ""arges brontes and steropes were the cyclopes in greek"", ""arges brontes and steropes were the cyclopes in greek mythology known as one eyed giants and sons of uranus and gaia"", ""arges brontes and steropes were the cyclopes in greek mythology known for their immense strength and craftsmanship"", ""arges brontes and steropes were the cyclopes in greek mythology known for their one eye and associated with thunder lightning"", ""arges brontes and steropes were the cyclopes skilled in craftsmanship and known for forging zeus s thunderbolts"", ""arges brontes and steropes were the cyclopes the one eyed giants in greek mythology known for forging weapons for the gods"", ""arges brontes and steropes were the first generation of cycl"", ""arges brontes and steropes were the giant one eyed cyclopes in greek mythology"", ""arges brontes and steropes were the sons of uranus"", ""arges brontes and steropes were the three cyclopes in greek mythology renowned for their work as forgers of zeus s thunder"", ""arges brontes and steropes were the three cyclopes of"", ""arges brontes and steropes were the three cyclops brothers"", ""arges brontes and steropes were the three elder cyclopes"", ""arges brontes and steropes were three brothers who were cycl"", ""arges brontes and steropes were three cyclopes in greek"", ""arges brontes and steropes were three cyclopes in greek mythology"", ""arges brontes and steropes were three cyclopes in greek mythology known for their role as skilled artisans and builders"", ""arges brontes and steropes were three cyclopes in greek mythology known for their strength and craftsmanship"", ""in greek mythology arges brontes and steropes were cyclopes a group of one eyed giants who were the sons of uran"", ""in greek mythology arges brontes and steropes were the cyclopes known for their strength and skill in crafting particularly associated""]",True
"In Greek mythology, what were the names of Oedipus's parents?",0.0,1.0,0.0,standard,"[""laius and jocasta"", ""oedipus s biological parents were laius and jocasta"", ""oedipus s parents were king laius and queen jocasta"", ""oedipus s parents were king polybus and queen merope"", ""oedipus s parents were laius and jocasta""]",False
